ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,ENVIROMENT,AREA_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
COR_MAIN_N1_M2,CORRIDOR,Paseo de la Vega,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4486,0.3399,,Verdadero,Paseo de la Vega,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N1_M3,CORRIDOR,Paseo de la Vega,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4366,0.2889,,Verdadero,Paseo de la Vega,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N1_M4,CORRIDOR,Paseo de la Vega,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4316,0.2499,,Verdadero,Paseo de la Vega,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N1_N,CORRIDOR,Paseo de la Vega,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4226,0.2239,,Verdadero,Paseo de la Vega,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N1_S,CORRIDOR,Paseo de la Vega,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4726,0.4519,,Verdadero,Paseo de la Vega,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W_E,CORRIDOR,West Corridor West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5626,0.7449,,Verdadero,West Corridor West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W_M1,CORRIDOR,West Corridor West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5326,0.7789,,Verdadero,West Corridor West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W_M2,CORRIDOR,West Corridor West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5546,0.7559,,Verdadero,West Corridor West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W_W,CORRIDOR,West Corridor West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5076,0.8069,,Verdadero,West Corridor West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W1_E,CORRIDOR,West Corridor East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6566,0.5829,,Verdadero,West Corridor East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W1_M1,CORRIDOR,West Corridor East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6146,0.6579,,Verdadero,West Corridor East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W1_M2,CORRIDOR,West Corridor East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6316,0.6269,,Verdadero,West Corridor East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_W1_W,CORRIDOR,West Corridor East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5986,0.6839,,Verdadero,West Corridor East,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_CROSS_NS_N_F0,PLAZA,Plaza Mayor Cross NS,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6666,0.4779,,Verdadero,Plaza Mayor,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_CROSS_NS_N_M1,PLAZA,Plaza Mayor Cross NS,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6646,0.5279,,Verdadero,Plaza Mayor,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_CROSS_NS_S_F0,PLAZA,Plaza Mayor Cross NS,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6576,0.5749,,Verdadero,Plaza Mayor,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_CROSS_WE_W_F0,PLAZA,Plaza Mayor Cross WE,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6306,0.5549,,Verdadero,Plaza Mayor,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_CROSS_WE_W_M1,PLAZA,Plaza Mayor Cross WE,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6626,0.5279,,Verdadero,Plaza Mayor,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_CROSS_WE_E_F0,PLAZA,Plaza Mayor Cross WE,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.7156,0.5029,,Verdadero,Plaza Mayor,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_E_E_F0,PLAZA,Plaza de Miguel Hernandez,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6486,0.2739,,Verdadero,Plaza de Miguel Hernandez,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_PLZ_E_N_F0,PLAZA,Plaza de Miguel Hernandez,PATH,PLAZA,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6176,0.2539,,Verdadero,Plaza de Miguel Hernandez,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
