FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS
COR_PLZ_FC_N_S_M2,COR_PLZ_FC_N_S_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_W_M1,COR_PLZ_FC_N_W_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_W_M2,COR_PLZ_FC_N_W_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_S_E_F1,COR_PLZ_FC_S_E_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_E_F1,COR_PLZ_FC_S_S_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_E_M1,COR_PLZ_FC_S_E_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_E_M2,COR_PLZ_FC_S_E_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_E_M3,COR_PLZ_FC_S_N_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_N_F1,COR_PLZ_FC_N_E_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_S_F1,COR_PLZ_FC_S_S_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_S_M2,COR_PLZ_FC_S_S_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_S_M2,COR_PLZ_FC_S_S_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_W_F1,COR_PLZ_FC_N_S_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:36:00.000Z,ACTIVE
COR_PLZ_FC_S_W_F1,COR_PLZ_FC_S_W_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:36:00.000Z,ACTIVE
COR_PLZ_FC_S_W_M1,COR_PLZ_FC_S_S_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:37:00.000Z,ACTIVE
COR_PLZ_FC_S_W_M2,COR_PLZ_FC_S_W_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:36:00.000Z,ACTIVE
COR_PLZ_FC_S_W_M3,COR_PLZ_FC_S_W_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:36:00.000Z,ACTIVE
COR_PLZ_MAIN_E_F0,COR_PLZ_MAIN_S_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:24:19.306Z,ACTIVE
COR_PLZ_MAIN_E_F0,COR_PLZ_MAIN_W_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:23:24.068Z,ACTIVE
COR_PLZ_MAIN_E_M1,COR_PLZ_CROSS_WE_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:21:05.097Z,ACTIVE
COR_PLZ_MAIN_E_M1,COR_PLZ_MAIN_E_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:21:18.375Z,ACTIVE
COR_PLZ_MAIN_E_M1,ESC_C_FC_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:29:01.914Z,ACTIVE
COR_PLZ_MAIN_E_M2,COR_MAIN_W1_E,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:21:22.396Z,ACTIVE
COR_PLZ_MAIN_E_M2,COR_PLZ_MAIN_E_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:21:30.596Z,ACTIVE
