ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,FLOOR_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
NODE_DOOR_BANKCAJARURAL,STORE,Bank Caja Rural,NODE,DOOR,F0,GROUND,FALSE,0.484,0.7965,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BELROS,STORE,Belros,NODE,DOOR,F0,GROUND,FALSE,0.382,0.233,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BENETTON,STORE,Benetton,NODE,DOOR,F0,GROUND,FALSE,0.647,0.327,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BERSHKA,STORE,Bershka,NODE,DOOR,F0,GROUND,FALSE,0.596,0.5435,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BIGGERBETTERBURGER,STORE,Bigger Better Burger,NODE,DOOR,F1,UPPER,FALSE,0.717,0.6535,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BIJOUBRIGITTE,STORE,Bijou Brigitte,NODE,DOOR,F0,GROUND,FALSE,0.641,0.5835,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BLACK,STORE,Black,NODE,DOOR,F0,GROUND,FALSE,0.583,0.2855,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BOMBONBOSS,STORE,BomBon Boss,NODE,DOOR,F0,GROUND,FALSE,0.427,0.1865,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BOSTON,STORE,Boston,NODE,DOOR,F0,GROUND,FALSE,0.423,0.2865,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BOTTICELLI,STORE,Botticelli,NODE,DOOR,F0,GROUND,FALSE,0.613,0.6885,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_BOWLING,STORE,Bowling,NODE,DOOR,F0,GROUND,FALSE,0.733,0.6215,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CA,STORE,C&A,NODE,DOOR,F0,GROUND,FALSE,0.46,0.3425,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CAFEOLE,STORE,Café Ole,NODE,DOOR,F0,GROUND,FALSE,0.7,0.5065,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CAFETERIAEXPRE3SS,STORE,Cafeteria Expre3ss,NODE,DOOR,F0,GROUND,FALSE,0.43,0.4915,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CALZEDONIA,STORE,Calzedonia,NODE,DOOR,F0,GROUND,FALSE,0.624,0.33,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CASINO,STORE,Casino Mediterraneo,NODE,DOOR,F0,GROUND,FALSE,0.947,0.392,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CHE,STORE,Che,NODE,DOOR,F1,UPPER,FALSE,0.693,0.4605,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CLAIRES,STORE,Claire's,NODE,DOOR,F0,GROUND,FALSE,0.493,0.4895,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CONFORMA,STORE,Conforma,NODE,DOOR,F1,UPPER,FALSE,0.235,0.0939,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CONFORMA_2,STORE,Conforma,NODE,DOOR,F1,UPPER,FALSE,0.227,0.085,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_CORTEFIEL,STORE,Cortefiel,NODE,DOOR,F0,GROUND,FALSE,0.563,0.221,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_COSTABLANCAWOHNUNGEN,STORE,Costablanca Wohnungen,NODE,DOOR,F0,GROUND,FALSE,0.425,0.4305,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_DAFAVOLA,STORE,Da Favola,NODE,DOOR,F0,GROUND,FALSE,0.407,0.3305,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_DECATHLON,STORE,Decathlon,NODE,DOOR,F0,GROUND,FALSE,0.613,0.898,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_DECIMAS,STORE,Decimas,NODE,DOOR,F0,GROUND,FALSE,0.64,0.247,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
