FROM;TO;BIDIRECTIONAL;CREATED_AT
COR_PLZ_MAIN_E_F0;STR_C_MAIN_OUTSIDE_N_F0;TRUE;2026-02-18T14:29:21.520Z
COR_PLZ_CROSS_NS_S_F0;COR_MAIN_W1_E;TRUE;2026-02-18T14:29:57.874Z
NODE_PLZ_CROSS_CENTER_F0;COR_PLZ_CROSS_NS_S_F0;TRUE;2026-02-18T14:30:04.593Z
COR_PLZ_CROSS_NS_N_F0;NODE_PLZ_CROSS_CENTER_F0;TRUE;2026-02-18T14:30:26.533Z
COR_PLZ_MAIN_N_F0;COR_PLZ_CROSS_NS_N_F0;TRUE;2026-02-18T14:30:39.482Z
NODE_PLZ_CROSS_CENTER_F0;COR_PLZ_CROSS_WE_W_F0;TRUE;2026-02-18T14:31:05.632Z
COR_PLZ_CROSS_WE_E_F0;NODE_PLZ_CROSS_CENTER_F0;TRUE;2026-02-18T14:31:11.246Z
COR_PLZ_MAIN_W_F0;COR_PLZ_CROSS_WE_W_F0;TRUE;2026-02-18T14:31:32.173Z
COR_PLZ_CROSS_NS_S_F0;COR_PLZ_CROSS_WE_W_F0;TRUE;2026-02-18T14:31:45.476Z
COR_PLZ_FC_S_N_F1;COR_PLZ_FC_S_E_F1;TRUE;2026-02-18T14:32:56.603Z
NODE_PLZ_CROSS_CENTER_F0;PLAY_KIDS_S_F0;TRUE;2026-02-18T14:33:12.023Z
PLAY_KIDS_S_F0;SEATING_PLAY_KIDS_S_F0;TRUE;2026-02-18T14:33:29.209Z
COR_PLZ_CROSS_NS_S_F0;SEATING_PLAY_KIDS_S_F0;TRUE;2026-02-18T14:33:37.508Z
SEATING_PLAY_KIDS_S_F0;COR_PLZ_MAIN_S_F0;TRUE;2026-02-18T14:33:53.175Z
COR_PLZ_FC_S_S_F1;PLZ_FOOD_COURT_S_F1;TRUE;2026-02-18T14:34:57.184Z
ELV_C_F1;PLZ_FOOD_COURT_S_F1;TRUE;2026-02-18T14:35:12.456Z
COR_PLZ_FC_S_W_F1;COR_PLZ_FC_S_S_F1;TRUE;2026-02-18T14:35:59.013Z
COR_PLZ_FC_N_W_F1;COR_PLZ_FC_N_S_F1;TRUE;2026-02-18T14:36:28.168Z
COR_PLZ_FC_N_N_F1;COR_PLZ_FC_N_W_F1;TRUE;2026-02-18T14:36:45.381Z
COR_PLZ_FC_N_E_F1;COR_PLZ_FC_N_N_F1;TRUE;2026-02-18T14:36:50.196Z
COR_PLZ_FC_S_N_F1;COR_PLZ_FC_N_E_F1;TRUE;2026-02-18T14:37:07.913Z
COR_PLZ_FC_N_S_F1;COR_PLZ_FC_S_W_F1;TRUE;2026-02-18T14:37:17.235Z
COR_PLZ_FC_N_S_F1;COR_PLZ_FC_N_E_F1;TRUE;2026-02-18T14:39:00.216Z
PLZ_FOOD_COURT_N_F1;COR_PLZ_FC_N_S_F1;TRUE;2026-02-18T14:39:07.543Z
COR_PLZ_FC_N_E_F1;PLZ_FOOD_COURT_N_F1;TRUE;2026-02-18T14:39:10.637Z
WC_C_F1;COR_PLZ_FC_N_N_F1;TRUE;2026-02-18T14:39:20.519Z
COR_PLZ_CROSS_WE_E_F0;COR_PLZ_MAIN_E_F0;TRUE;2026-02-18T14:39:31.254Z
COR_PLZ_CROSS_NS_N_F0;COR_PLZ_CROSS_WE_E_F0;TRUE;2026-02-18T14:39:40.132Z
COR_PLZ_MAIN_S_F0;COR_PLZ_CROSS_NS_S_F0;TRUE;2026-02-18T14:39:49.509Z
ATM2_F0;SEATING_PLAY_KIDS_S_F0;TRUE;2026-02-18T14:39:57.107Z
ESC_C_B1;ESC_C_F0;TRUE;2026-02-18T14:40:11.990Z
STR_C_MAIN_B1;STR_C_MAIN_F0;TRUE;2026-02-18T14:40:14.364Z
COR_PLZ_MAIN_S_F0;STR_C_MAIN_F0;TRUE;2026-02-18T14:40:30.230Z
ESC_C_F0;COR_PLZ_MAIN_S_F0;TRUE;2026-02-18T14:40:33.881Z
ESC_C_F0;COR_PLZ_MAIN_E_F0;TRUE;2026-02-18T14:40:36.281Z
STR_C_MAIN_F0;COR_PLZ_MAIN_E_F0;TRUE;2026-02-18T14:40:39.297Z
COR_PLZ_STAGE_S_F0;STR_C_F0;TRUE;2026-02-18T14:42:58.540Z
COR_PLZ_STAGE_S_F0;ESC_C_FC_F0;TRUE;2026-02-18T14:43:00.187Z
ESC_C_FC_F0;ESC_C_FC_F1;TRUE;2026-02-18T14:43:08.554Z
STR_C_F0;STR_C_F1;TRUE;2026-02-18T14:43:14.915Z
COR_PLZ_FC_N_S_F1;STR_C_F1;TRUE;2026-02-18T14:43:28.241Z
COR_PLZ_FC_N_S_F1;PLAY_KIDS_S_F1;TRUE;2026-02-18T14:43:44.631Z
SEATING_PLAY_KIDS_S_F1;PLAY_KIDS_S_F1;TRUE;2026-02-18T14:43:48.110Z
SEATING_PLAY_KIDS_S_F1;COR_PLZ_FC_N_E_F1;TRUE;2026-02-18T14:43:56.507Z
COR_PLZ_MAIN_N_F0;SEATING_MAIN_F0;TRUE;2026-02-18T14:44:20.691Z
COR_PLZ_MAIN_N_F0;WC_C_F0;TRUE;2026-02-18T14:44:26.540Z
SEATING_MAIN_F0;COR_PLZ_STAGE_N_F0;TRUE;2026-02-18T14:44:30.153Z
COR_PLZ_STAGE_N_F0;WC_C_F0;TRUE;2026-02-18T14:44:35.347Z
PLZ_MAIN_STAGE;COR_PLZ_STAGE_E_F0;TRUE;2026-02-18T14:44:47.394Z
PLAY_KIDS_S_F1;WC_C_F1;TRUE;2026-02-18T14:45:02.205Z
COR_MAIN_N_M2;COR_MAIN_N_N;TRUE;2026-02-18T14:54:03.374Z
