FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_MAIN_N_M4,COR_MAIN_N_M3,WALK,TRUE,,,,2026-02-25T21:17:26.219Z,ACTIVE,,,,,,,
COR_MAIN_N_M3,COR_MAIN_N_M2,WALK,TRUE,,,,2026-02-25T21:17:27.246Z,ACTIVE,,,,,,,
COR_MAIN_N_M2,COR_MAIN_N_M1,WALK,TRUE,,,,2026-02-25T21:17:29.089Z,ACTIVE,,,,,,,
COR_MAIN_N_M1,COR_MAIN_N_S,WALK,TRUE,,,,2026-02-25T21:17:30.752Z,ACTIVE,,,,,,,
COR_PLZ_E_S_F0,COR_MAIN_E_N,WALK,TRUE,,,,2026-02-25T21:17:48.824Z,ACTIVE,,,,,,,
COR_MAIN_E_N,COR_MAIN_E_M4,WALK,TRUE,,,,2026-02-25T21:17:50.511Z,ACTIVE,,,,,,,
COR_MAIN_E_M4,COR_MAIN_E_M3,WALK,TRUE,,,,2026-02-25T21:17:54.392Z,ACTIVE,,,,,,,
COR_MAIN_E_M3,SHORTCUT_HM_E_F0,WALK,TRUE,,,,2026-02-25T21:17:55.649Z,ACTIVE,,,,,,,
COR_MAIN_E_M3,COR_MAIN_E_M2,WALK,TRUE,,,,2026-02-25T21:17:57.461Z,ACTIVE,,,,,,,
COR_MAIN_E_M2,COR_MAIN_E_M1,WALK,TRUE,,,,2026-02-25T21:18:00.145Z,ACTIVE,,,,,,,
COR_MAIN_E_M1,COR_MAIN_E_S,WALK,TRUE,,,,2026-02-25T21:18:04.951Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_F0,COR_MAIN_N_S,WALK,TRUE,,,,2026-02-25T21:20:46.515Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_F0,COR_PLZ_MAIN_E_M1,WALK,TRUE,,,,2026-02-25T21:20:55.552Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_M1,COR_PLZ_CROSS_WE_W_F0,WALK,TRUE,,,,2026-02-25T21:21:05.097Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_M1,COR_PLZ_MAIN_E_M2,WALK,TRUE,,,,2026-02-25T21:21:18.375Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_M2,COR_MAIN_W1_E,WALK,TRUE,,,,2026-02-25T21:21:22.396Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_NS_S_F0,COR_PLZ_MAIN_E_M2,WALK,TRUE,,,,2026-02-25T21:21:27.475Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_M2,COR_PLZ_MAIN_E_M3,WALK,TRUE,,,,2026-02-25T21:21:30.596Z,ACTIVE,,,,,,,
