ANCHOR_ID;ANCHOR_TYPE;NAME;ANCHOR_ROLE;ANCHOR_CLASS;FLOOR;ENVIROMENT;AREA_TYPE;VERTICAL;X;Y;POLYGON;WALKABLE;NOTES;STATUS;ACCESS_WHEELCHAIR;ACCESS_STROLLER;ACCESS_LUGGAGE;PRE_SITE_QA;
COR_PLZ_CROSS_NS_N_M1;PLAZA;Plaza Mayor Cross NS;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6626;0.5329;;TRUE;Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_CROSS_NS_S_F0;PLAZA;Plaza Mayor Cross NS;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6576;0.5799;;TRUE;Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_CROSS_WE_W_F0;PLAZA;Plaza Mayor Cross WE;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6306;0.5599;;TRUE;Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_CROSS_WE_W_M1;PLAZA;Plaza Mayor Cross WE;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6626;0.5329;;TRUE;Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_CROSS_WE_E_F0;PLAZA;Plaza Mayor Cross WE;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7156;0.5079;;TRUE;Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_E_E_F0;PLAZA;Plaza de Miguel Hernandez;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6486;0.2789;;TRUE;Plaza de Miguel Hernandez;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_E_N_F0;PLAZA;Plaza de Miguel Hernandez;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6176;0.2589;;TRUE;Plaza de Miguel Hernandez;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_E_S_F0;PLAZA;Plaza de Miguel Hernandez;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6266;0.3149;;TRUE;Plaza de Miguel Hernandez;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_E_W_F0;PLAZA;Plaza de Miguel Hernandez;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5936;0.2929;;TRUE;Plaza de Miguel Hernandez;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_E_F1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6466;0.4569;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_E_M1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6246;0.4399;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_E_M2;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6446;0.4549;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_N_F1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6176;0.4309;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_N_M1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5776;0.4689;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_N_M2;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5946;0.4469;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_S_F1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6056;0.5209;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_S_M1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6386;0.4789;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_S_M2;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6256;0.4989;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_W_F1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5626;0.4939;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_W_M1;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5986;0.5189;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_N_W_M2;PLAZA;Food Court – North;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5836;0.5079;;TRUE;Food Court – North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_E_F1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7836;0.5379;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_E_M1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7566;0.5119;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_E_M2;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7276;0.4919;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_E_M3;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7056;0.4739;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_N_F1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6876;0.4739;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_S_F1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7186;0.6349;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_S_M1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7326;0.6079;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_S_M2;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7506;0.5889;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_S_M3;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7656;0.5609;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_W_F1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5986;0.5569;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_FC_S_W_M1;PLAZA;Food Court – South;PATH;PLAZA;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6816;0.6089;;TRUE;Food Court – South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
