FROM;TO;MODE;BIDIRECTIONAL;WHEELCHAIR;STROLLER;LUGGAGE;CREATED;STATUS
COR_PLZ_E_E_F0;COR_PLZ_E_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_E_E_F0;COR_PLZ_E_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_E_N_F0;COR_PLZ_E_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_E_N_F0;COR_PLZ_E_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_E_N_F0;ESC_E_F0;WALK;TRUE;FALSE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_E_S_F0;COR_PLZ_E_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_E_S_F0;COR_PLZ_E_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_E_S_F0;COR_PLZ_S_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_E_W_F0;COR_PLZ_E_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_E_W_F0;COR_PLZ_E_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_E_W_F0;COR_PLZ_MAIN_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_FC_N_E_F1;COR_PLZ_FC_N_S_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_FC_N_N_F1;COR_PLZ_FC_N_E_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_FC_N_S_F1;COR_PLZ_FC_N_W_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_FC_N_W_F1;COR_PLZ_FC_N_N_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_FC_S_E_F1;COR_PLZ_FC_S_S_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_FC_S_N_F1;COR_PLZ_FC_S_E_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_FC_S_S_F1;COR_PLZ_FC_S_W_F1;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_MAIN_E_F0;COR_PLZ_MAIN_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_MAIN_E_F0;COR_PLZ_MAIN_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_MAIN_E_F0;STR_C_MAIN_OUTSIDE_N_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_MAIN_N_F0;COR_PLZ_MAIN_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_MAIN_N_F0;COR_PLZ_MAIN_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_MAIN_S_F0;COR_PLZ_MAIN_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_MAIN_S_F0;COR_PLZ_MAIN_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_MAIN_S_F0;STR_C_MAIN_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_MAIN_S_F0;STR_C_MAIN_OUTSIDE_S_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_MAIN_W_F0;COR_PLZ_MAIN_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_MAIN_W_F0;COR_PLZ_MAIN_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_E_F0;COR_PLZ_E_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_E_F0;COR_PLZ_N_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_N_E_F0;COR_PLZ_N_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_N_F0;COR_PLZ_N_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_N_N_F0;COR_PLZ_N_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_N_F0;ESC_N_F0;WALK;TRUE;FALSE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_S_F0;COR_PLZ_MAIN_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_S_F0;COR_PLZ_N_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_N_S_F0;COR_PLZ_N_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_S_F0;STR_N_F0;WALK;TRUE;FALSE;FALSE;TRUE;MANUAL;ACTIVE
COR_PLZ_N_W_F0;COR_PLZ_N_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
